chem. formula;LG;serial-id;ICSD;source;indirect gap with SOC (eV);direct gap with SOC (eV);topological classification at Ef with SOC;topological subclassification at Ef with SOCe;topological classification at Ef without SOC;topological subclassification at Ef without SOC;experimental;comput. exfoliable; comput. dynamically stable; comput. thermodynamically stable;twistable semimetal;twistable insulator
Al2 Sn2 Te2;72;1.3.192;n.a.;https://c2db.fysik.dtu.dk/material/2AlSnTe-1;0.0861;0.0865;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;Yes;No
As2 Cl2;72;1.3.193;n.a.;https://c2db.fysik.dtu.dk/material/2AsCl-1;0.19;0.19;TI;SEBR;SM;ESFD;n.a.;n.a.;n.a.;Yes;Yes;No
Bi2 Br2;72;1.3.199;n.a.;https://c2db.fysik.dtu.dk/material/2BiBr-2;0.8761;1.2747;TI;SEBR;SM;ESFD;n.a.;n.a.;No;Yes;No;Yes
Pd2 Ta4 Te14;15;1.3.20;n.a.;https://c2db.fysik.dtu.dk/material/2PdTa2Te7-1;0.014;0.0298;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Bi2 Cl2;72;1.3.200;n.a.;https://c2db.fysik.dtu.dk/material/2BiCl-2;0.9077;1.2792;TI;SEBR;SM;ESFD;n.a.;n.a.;No;Yes;No;Yes
Bi2 I2;72;1.3.202;n.a.;https://c2db.fysik.dtu.dk/material/2BiI-1;0.8608;1.094;TI;SEBR;SM;ESFD;n.a.;n.a.;No;Yes;No;Yes
Br2 Ge2;72;1.3.209;n.a.;https://c2db.fysik.dtu.dk/material/2BrGe-1;0.1635;0.2362;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;Yes;No
Br2 Sb2;72;1.3.212;n.a.;https://c2db.fysik.dtu.dk/material/2BrSb-2;0.3947;0.3947;TI;SEBR;SM;ESFD;n.a.;n.a.;No;Yes;No;Yes
Pt2 Ta4 Te14;15;1.3.22;n.a.;https://c2db.fysik.dtu.dk/material/2PtTa2Te7-1;0.0112;0.0178;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Rh2 Ta2 Te8;15;1.3.23;656453;https://c2db.fysik.dtu.dk/material/2RhTaTe4-1;0.0659;0.0711;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;No;No
S4 W2;15;1.3.24;n.a.;https://c2db.fysik.dtu.dk/material/2WS2-1;0.0352;0.132;TI;NLC;SM;ES;Yes;n.a.;Yes;Yes;Yes;No
Cd2 Pt4 Se6;72;1.3.249;n.a.;https://c2db.fysik.dtu.dk/material/2CdPt2Se3-1;0.0377;0.1385;TI;SEBR;SM;ESFD;n.a.;n.a.;n.a.;Yes;Yes;No
Cd2 Pt4 Te6;72;1.3.250;n.a.;https://c2db.fysik.dtu.dk/material/2CdPt2Te3-1;0.0548;0.1578;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;Yes;No
Cl2 Ge2;72;1.3.251;n.a.;https://c2db.fysik.dtu.dk/material/2ClGe-1;0.1003;0.1489;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
Cl2 Sb2;72;1.3.254;n.a.;https://c2db.fysik.dtu.dk/material/2ClSb-1;0.3875;0.3875;TI;SEBR;SM;ESFD;n.a.;n.a.;No;Yes;No;Yes
Cu4 I8;16;1.3.26;n.a.;https://c2db.fysik.dtu.dk/material/4CuI2-1;0.1156;0.1544;TI;NLC;SM;ES;n.a.;n.a.;No;Yes;No;No
F2 Ge2;72;1.3.265;n.a.;https://c2db.fysik.dtu.dk/material/2FGe-1;0.0986;0.1419;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
F2 Sn2;72;1.3.271;n.a.;https://c2db.fysik.dtu.dk/material/2FSn-1;0.2833;0.3602;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;No;No;Yes
F2 V2;72;1.3.272;n.a.;https://c2db.fysik.dtu.dk/material/2FV-1;0.0302;0.0332;TI;SEBR;SM;ESFD;n.a.;n.a.;No;Yes;No;No
Ga2 Ge2 S2;72;1.3.274;n.a.;https://c2db.fysik.dtu.dk/material/2GaGeS-1;0.0395;0.0397;TI;SEBR;Trivial;OAI;n.a.;n.a.;Yes;Yes;No;No
Ga2 Mg2 Te5;72;1.3.275;n.a.;https://c2db.fysik.dtu.dk/material/1Ga2Mg2Te5-1;0.0306;0.0306;TI;SEBR;Trivial;LCEBR;n.a.;n.a.;Yes;Yes;No;No
